County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Chenango,Pires Farmers' Market,6066 State Hwy 12  Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Fri  9am-5pm, Sat 9am-4pm Sun 10am-2pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498,"(42.54525, -75.52498)"
Sullivan,Sullivan Fresh Market on the Move-Loch Sheldrake,"Route 52 & Hasbrouck Rd. , Lock Sheldrake public parking lot",Hasbrouck Rd.@ CR52,Lock Sheldrake,NY,12788,Melinda Meddaugh,8452926180,,Wednesday  3pm-5pm,June 2-October 27,M,Y,Y,N,Y,41.75888,-74.60189,"(41.75888, -74.60189)"
Monroe,Brighton WINTER Farmers' Market,Brookside Center  220 Idlewood Rd. Rochester,220 Idlewood Road,Rochester,NY,14618,Sue Gardner-Smith,5852698918,http://www.brightonfarmersmarket.org,Sunday  1pm-4pm,November 28-December 19,X/W,N,Y,N,Y,43.11275,-77.56809,"(43.11275, -77.56809)"
Niagara,Schwab Farm Stand,9035 Rochester Rd. Gasport,9035 Rochester Rd,Gasport,NY,14067,Sharon Brent,7165600853,http://www.schwabsfarm.com,"Mon-Fri  8am-7pm, Sat/Sun  9am-5pm",Year-round,YR,Y,Y,N,Y,43.20425,-78.52308,"(43.20425, -78.52308)"
Monroe,Kirby's Farm Market,9739 Ridge Road Brockport,9739 Ridge Rd,Brockport,NY,14420,Linda Kirby,5856372600,http://www.kirbysfm.com,"Mon-Sat  10am-6pm, Sun  10am-5pm",May 1-December 24,P/M/X,Y,N,N,Y,43.25194,-77.98451,"(43.25194, -77.98451)"
Erie,Clinton Bailey Sun Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Sunday 7am-5pm,May 1-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Kings,4th Ave. Sunset Park Greenmarket,60 4th Ave. btwn 59th & 60th Sts.,4th Ave and 60th St,Brooklyn,NY,11220,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,July 3-November 20,M,Y,Y,N,Y,40.64081,-74.01836,"(40.64081, -74.01836)"
Monroe,Curbside Market-Cameron Community Ministries,"48 Camerson St Rochester, closed June 19, July 3 & Sept 4",48 Camerson St,Rochester,NY,14606,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Sat 9am-11am,June 5-November 27,M,Y,Y,N,Y,43.16572,-77.63942,"(43.16572, -77.63942)"
Orange,Healthy Orange Farmers' Market,"130 Broadway (lawn next to DMV bldg), btwn Johnston & Landers St. Newburgh",131 Broadway,Newburgh,NY,12550,Jeffrey Woody,8458636455,http://www.healthyorange.com,Tuesday  10am-2pm,July 6-October 26,M,Y,Y,N,Y,41.50009,-74.01254,"(41.50009, -74.01254)"
Bronx,TFFJ Fresh Farm Market-Bronx,100 W Mosholu Pkwy South,100 W Mosholu Pkwy South,Bronx,NY,10468,Katherine Soll,9292411029,http://www.teensforfoodjustice.org,Thursday 3pm-6pm,Year-Round,YR,N,Y,N,Y,40.88007,-73.88593,"(40.88007, -73.88593)"
Monroe,Curbside Market-RCSD School #33,500 Webster Ave Rochester,500 Webster Ave,Rochester,NY,14609,Camille Verbofsky,5854135077,http://www.foodlinkny.org,"Sat 12pm-2pm, closed June 19, July 3 & Sept 4",June 5-November 27,M,Y,Y,N,Y,43.16969,-77.57192,"(43.16969, -77.57192)"
Chautauqua,Cherry Creek Farmers' Market,6813 Main Street,6813 Main Street,Cherry Creek,NY,14723,Tina Armstrong,7162006946,,Wed  2pm-5:30pm,July 7-October 1,M,Y,N,N,Y,42.29547,-79.09978,"(42.29547, -79.09978)"
Kings,Saratoga Farm Stand,1965-1971 Fulton St. Brooklyn,1965 Fulton Street,Brooklyn,NY,11233,Melony Samuels,7187733551,,Saturday  9am-2pm,July 10-November 20,M,Y,Y,N,Y,40.67849,-73.9162,"(40.67849, -73.9162)"
Allegany,Fillmore Farmers' Market,Fillmore Central School,35 South Genesee Street,Fillmore,NY,14735,Debra Wagoner,5856108836,,Friday  5pm-8pm,June 5-October 2,M,Y,N,Y,Y,42.46481,-78.11218,"(42.46481, -78.11218)"
Herkimer,Juliano's Farm Market,2365 State Route 5 Utica,2365 State Route 5,Utica,NY,13502,Deborah E Juliano,3157230022,,"Mon-Fri  7:30am-6pm, Sat 7:30am-10pm Sun  7:30am-4pm",April 22-October 31,P/M,Y,N,N,Y,43.09608,-75.14626,"(43.09608, -75.14626)"
Otsego,Cooperstown Saturday Farmers' Market,101 Main St. in Pioneer Alley near Keybank,101 Main St,Cooperstown,NY,13326,Ellen Pope,6075478881,http://www.cooperstownfarmersmarket.org,"Saturday  9am-2pm, 10am-2pm (Jan-Apr)",Year-round,YR,Y,Y,Y,Y,42.70001,-74.92526,"(42.70001, -74.92526)"
Queens,Forest Hills Greenmarket,106-28 Queens Blvd. at 70th Ave. near Post Office,106-28 Queens Blvd.,Queens,NY,11375,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/forest-hills,Sunday  8am-2pm,Year-Round,YR,Y,Y,N,Y,40.72193,-73.84676,"(40.72193, -73.84676)"
Erie,Holland Farmers' Market,"25 North Main St. Holland, Municipal lot Next to Fire Dept",25 North Main St.,Holland,NY,14080,Marg Wnek,7165379590,http://www.thehollandmkt.com,Sunday  8:30am-1pm,May 2-October 31,P/M,Y,N,N,Y,42.64149,-78.54248,"(42.64149, -78.54248)"
Essex,Drinkwine Produce Farm Stand,Route 9N & 22 Street Road Ticonderoga,Route 9N and 22 Street Road,Ticonderoga,NY,12883,Henry Drinkwine,5185856346,,"Mon-Sat  10am-6pm, Sun 11am-6pm",July 10-October 30,M,Y,N,N,Y,43.88032,-73.44955,"(43.88032, -73.44955)"
Suffolk,Montauk Farmers' Market,Village Green 743 Montauk Hwy,742 Montauk Hwy,Montauk,NY,11954,Byor Kay Kim-Tyler,9179228656,,Thursday  9am-2pm,June 3-September 9,M,Y,Y,N,Y,41.03436,-71.94424,"(41.03436, -71.94424)"
Ontario,Geneva Lakefront Childcare Center Farm Stand,61 Elizabeth Blackwell St.  Geneva,61 Elizabeth Blackwell St.,Geneva,NY,14456,Cassandra Salo,3157810014,,Tuesday  3pm-6pm,June 8-September 28,M,Y,N,N,Y,42.86515,-76.98162,"(42.86515, -76.98162)"
Monroe,Curbside Market-Waring Road Plaza,Monroe WIC  250 Waring Rd. Rochester,250 Waring Rd,Rochester,NY,14609,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Wed 11:30am-12:45pm,June 2-November 24,M,Y,Y,N,Y,43.1836,-77.56554,"(43.1836, -77.56554)"
New York,Fort Washington Greenmarket,701 W 168th at Fort Washington Ave.,Fort Washington Ave and West 168th St,New York,NY,10032,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 1-November 23,M,Y,Y,N,Y,40.84217,-73.94229,"(40.84217, -73.94229)"
Tompkins,Mar-San Farm Stand,583 Sheldon Rd.  Freeville,583 Sheldon Rd.  Freeville,Freeville,NY,13068,Margaret Tracy,6073474617,,Mon/Wed/Thu  8am-6pm,June 1-November 1,M,Y,N,N,Y,42.5272,-76.41507,"(42.5272, -76.41507)"
Greene,Fromer Market Gardens Farm Stand,6120 Main St.  Tannersville,6120 Main Street,Tannersville,NY,12485,Samantha Metz,5185895050,http://www.fromermarketgardens.com,"Sat  9am-3pm, Wed  3pm-6pm",Year-round,YR,Y,Y,N,Y,42.19546,-74.13889,"(42.19546, -74.13889)"
Wayne,Newark Farmers' Market,100 Church St.,303 East Avenue,Newark,NY,14513,Andrew Bodine,3158791121,,Thursday  4pm-7pm,June 17-October 28,M,Y,N,N,Y,43.04412,-77.09252,"(43.04412, -77.09252)"
Kings,Isabahlia Farm Stand-Rockaway Ave,514 Rockaway Avenue Brooklyn,514 Rockaway Avenue,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Fri/Sat  8am-3pm,June 25-October 30,M,Y,Y,N,Y,40.66751,-73.91021,"(40.66751, -73.91021)"
Queens,Amjoy Farmers Market Rosedale,S. Conduit Ave,South Conduit Ave and 149th Ave,Rosedale,NY,11422,Joy Ibinedion,3476353302,,Saturday 9am-4pm,July 17-November 13,M,Y,N,N,Y,40.66535,-73.72831,"(40.66535, -73.72831)"
Columbia,City of Hudson WINTER Farmers' Market,"601 Union St. Hudson, sidewalk",601 Union St.,Hudson,NY,12534,Marilyn Cederoth,5189650552,http://www.hudsonfarmersmarketny.com,Saturday  10am-1pm,"December 4-April 15, 2022",X/W/P,N,N,N,Y,42.24738,-73.78535,"(42.24738, -73.78535)"
Kings,Brownsville Pitkin  GrowNYC Farm Stand,Pitkin Ave. & Thomas Boyland St.,Pitkin Avenue and Thomas Boyland Street,Brooklyn,NY,11212,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Saturday  9am-2pm,July 10-November 20,M,Y,Y,N,Y,40.66926,-73.91356,"(40.66926, -73.91356)"
Delaware,Catskill Cattle Farm Stand,"96 Laurel Bank Ave, Deposit",96 Laurel Bank Ave,Deposit,NY,13754,Lonny Schaefer,6074675762,http://www.catskillcattle.com,"Daily  11am-6pm, Nov-Apr by appt only",Year-round,YR,Y,N,N,Y,42.06673,-75.40725,"(42.06673, -75.40725)"
Rensselaer,Veggie Mobile Sprout-Edward A. Kane Apts,115th Street & 2nd Ave Troy,5 115th Street,Troy,NY,12182,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 11am-11:30am,Year-round,YR,Y,Y,Y,Y,42.7748,-73.67761,"(42.7748, -73.67761)"
Nassau,Kennedy Plaza Long Beach Farmers' Market -Wed,1 West Chester St. Long Beach,1 West Chester St,Long Beach,NY,11561,Debbie Grattan,5163307149,http://www.ligreenmarket.org,Wed  9am-2pm,June 2-November 17,M,Y,N,N,Y,40.58943,-73.66592,"(40.58943, -73.66592)"
St. Lawrence,Massena Farmers and Artisans Co-op-Sunday,Tractor Supply 105 Harte Haven Plaza,105 Harte Haven Plaza,Massena,NY,13662,Matt Martin,3158428052,,Sunday 10am-2pm,July 11-October 31,M,N,Y,N,Y,44.92199,-74.88432,"(44.92199, -74.88432)"
Chautauqua,Roberto Fred Farm Stand,10655 Temple Rd Dunkirk,10655 Temple Rd,Dunkirk,NY,14048,Roberto Fred,7163667200,,Daily  9am-6pm,June 1-November 30,M,Y,Y,N,Y,42.464201,-79.361694,"(42.464201, -79.361694)"
Nassau,Rockville Centre Farmers' Market,"Sunrise Hwy & Longbeach Rd. , Village of Rockville Centre",Sunrise Hwy and Long Beach Rd,Rockville Centre,NY,11570,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sunday  7am-12pm,June 6-December 26,M/X,Y,N,N,Y,40.65712,-73.6321,"(40.65712, -73.6321)"
Otsego,Oneonta WINTER Farmers' Market,"Foothills Performing Arts & Civic Center, 24 Market St., Oneonta",196 Main Street,Oneonta,NY,13820,Betty Lee,6072671807,http://www.oneontafarmersmarket.com,Saturday  9am-12pm,Nov 7-April 24,X/W/P,N,N,N,Y,42.45397,-75.06188,"(42.45397, -75.06188)"
Sullivan,Livingston Manor Farmers' Market,Main Street Livingston Manor,Main Street Green Space Lawn,Livingston Manor,NY,12758,Maria Bivins,8457072723,,Sunday 10am-2pm,May 30-October 16,M,Y,N,N,Y,41.90119,-74.82754,"(41.90119, -74.82754)"
Erie,Chiavetta's Potatoes & Greenhouse Farm Stand,9784 South Main St. Angola,9784 South Main St,Angola,NY,14006,Michael Chiavetta,7165490458,,Daily  9am-6pm,August 1-October 31,M,Y,Y,N,Y,42.61859,-79.01784,"(42.61859, -79.01784)"
New York,Tucker Square Saturday Greenmarket,125 Columbus Ave btwn W 65th & W 66th Sts.,Columbus and West 66th St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tuckerthursday,Saturday  8am-5pm,Year-round,YR,Y,Y,N,Y,40.77361,-73.98158,"(40.77361, -73.98158)"
Madison,Mosher Farms Farm Stand,3214 Fargo Rd Bouckville,3214 Fargo Rd,Bouckville,NY,13310,Stephanie Mosher,3157964913,http://www.mosherfarms.com,"Mon-Sat  9am-6pm, Sunday  9am-5pm",June 10-October 31,M,Y,N,N,Y,42.87972,-75.57175,"(42.87972, -75.57175)"
Cattaraugus,Enchanted Mountains Farmers Market,1900 Constituion Ave Olean,1900 Constituion Ave,Olean,NY,14760,Tammy Gardner,7165435475,,Friday  2pm-6pm,May 28-October 22,P/M,Y,Y,N,Y,42.08304,-78.45343,"(42.08304, -78.45343)"
Washington,Braydon's Garden Farm Stand,3 East High Street,328 North Main St,Salem,NY,12865,Lisa Hunt,5187426647,http://www.braydonsgarden.com,Daily  8am-8pm,Year-round,YR,Y,N,N,Y,43.18091,-73.3259,"(43.18091, -73.3259)"
Jefferson,Bushgardens Farm Stand,10371 NYS Route 26 Carthage,10371 NYS Route 26,Carthage,NY,13619,Chris Bush,3157836745,,"Daily  6am-6pm, Except Wed  3pm-6pm",May 15-November 1,P/M,Y,N,N,Y,43.91954,-75.58686,"(43.91954, -75.58686)"
Monroe,Curbside Market-Cornerstone Pointe,3 GBC Parkway Greece,3 GBC Parkway,Greece,NY,14626,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Thu 11:15am-12:15pm,June 3-November 25,M,Y,Y,N,Y,43.21335,-77.69366,"(43.21335, -77.69366)"
Orange,Newburgh Mall Farmers' Market,Newburgh Mall Parking lot  1401 Route 300,1401 Route 300,Newburgh,NY,12550,Debbie Gaito,8455641400,http://www.newburghmall.com,Saturday  10am-2pm,July 17-October 16,M,Y,N,N,Y,41.51758,-74.0714,"(41.51758, -74.0714)"
Dutchess,Hudson Valley Farmers Market,227 Pitcher Lane Red Hook,227 Pitcher Lane,Red Hook,NY,12571,Norman Greig,9144742404,,Saturday 9am-3pm,Year-round,YR,N,N,N,Y,42.02825,-73.8549,"(42.02825, -73.8549)"
New York,Tribeca Greenmarket Wednesday,315 Greenwich St. at Chambers St,Greenwich St and Chambers St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wednesday  8am-3pm,Year-Round,YR,Y,Y,N,Y,40.71629,-74.01095,"(40.71629, -74.01095)"
Chemung,Wisner Park Farmers' Market,Wisner Park 200 N Main Street Elmira,200 N Main St,Elmira,NY,14901,Kate Boland,6077340341,http://www.wisnermarket.org,Thursday  10am-2pm,May 27-September 30,P/M,Y,Y,Y,Y,42.08943,-76.80801,"(42.08943, -76.80801)"
Dutchess,Hyde Park Farmers' Market,4390 Albany Post Rd. (Rt 9),4390 Route 9,Hyde Park,NY,12538,Dot Chenevert,8452299336,http://www.hydeparkfarmersmarket.org,Saturday  9am-2pm,June 5-October 30,M,Y,N,N,Y,41.7913,-73.93615,"(41.7913, -73.93615)"
Westchester,Perez Farm Stand-Mount Vernon,Lusiadas Restaurant  Mount Vernon NY,6 Roosevelt Square,Mount Vernon,NY,10550,Jose Monteiro,9149062830,,Thursday  9am-2pm,June 17-October 28,M,Y,N,N,Y,40.9126,-73.83856,"(40.9126, -73.83856)"
Niagara,Niagara Falls City Wednesday Market,19th St. & Pine Ave.,1800-1808 Pine Ave,Niagara Falls,NY,14301,Victor Muto,7167540798,,Wednesday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03972,"(43.09513, -79.03972)"
Cortland,Cortland Tues Farmers Market,Main St. btwn Court & Orchard Sts.,Main St and Orchard St,Cortland,NY,13045,Laura Morak,6077588331,,Tuesday  8am-2pm,May 18-October 26,P/M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Kings,Cortelyou Greenmarket,Cortelyou Rd. btwn Argyle & Rugby Rds.,1399 Cortelyou Rd,Brooklyn,NY,11226,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Sunday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.64044,-73.96617,"(40.64044, -73.96617)"
Onondaga,Central NY Thursday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Rachael Ristau,3154228647,http://www.cnyrma.com,Thursday  7am-2pm,Year-round,YR,Y,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Albany,Constantine Farm Stand,566 Albany Shaker Rd.  Albany,566 Albany Shaker Road,Albany,NY,12211,Emily Szesnat,5184588294,http://www.constantinefarms.com,Daily  9am-5pm,July 15-October 1,M,Y,N,N,Y,42.71722,-73.78613,"(42.71722, -73.78613)"
Kings,Williamsburg Greenmarket,33 Lee Ave. at Taylor St.,199 Taylor St,Brooklyn,NY,11211,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-4pm,July 1-November 18,M,Y,Y,N,Y,40.70643,-73.96211,"(40.70643, -73.96211)"
Rensselaer,East Greenbush Farmers' Market,"East Greenbush Library, 10-20 Community Way",10 Community Way,East Greenbush,NY,12061,Shannon Romanowski,5184772570,http://www.eastgreenbushlibrary.org,Wednesday  4pm-7pm,June 9-September 29,M,Y,N,N,Y,42.619,-73.69488,"(42.619, -73.69488)"
Rockland,Nyack Farmers' Market,119 Main St. Municipal Parking Lot,Main St and Franklin St,Nyack,NY,10960,Roger Cohen,8453532221,http://www.nyackchamber.org,Thursday  8am-2pm,Year-round,YR,Y,Y,N,Y,41.09154,-73.9216,"(41.09154, -73.9216)"
Monroe,Curbside Market-Manhattan Sq Family Medicine,454 E Broad St Rochester 14607,454 E Broad St,Rochester,NY,14607,Camille Verbofsky,5854135077,http://www.foodlinkny.org,"Thu 1:15pm-2:30pm, closed July 1",June 3-November 25,M,Y,Y,N,Y,43.15531,-77.59957,"(43.15531, -77.59957)"
Cayuga,Dragonfly Hill Farm Farm Stand,3984 Austin Rd Moravia,3984 Austin Rd,Moravia,NY,13118,Rebecca Davis,3155188163,,Daily 9am-5pm,Year-round,YR,N,N,N,Y,42.6992,-76.47732,"(42.6992, -76.47732)"
Genesee,Genesee Country Tuesday Farmers' Market,Bank St. at Alva Place Batavia,Bank St and Alva Place,Batavia,NY,14020,Sharon Brent,7165600853,,Tuesday 9am-4pm,June 4-October 29,M,Y,Y,Y,Y,42.99905,-78.18151,"(42.99905, -78.18151)"
Monroe,Curbside Market-Keeler Apts,501 Seneca Manor Dr. Rochester,501 Seneca Manor Dr.,Rochester,NY,14621,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Wed 2:30pm-4pm,June 2-November 24,M,Y,Y,N,Y,43.19395,-77.60168,"(43.19395, -77.60168)"
Monroe,Curbside Market-Charlotte Harbortower II,60 River St. Rochester,60 River Street,Rochester,NY,14612,Camille Verbofsky,5854135077,http://www.foodlinkny.org,"Fri 2:45pm-4pm, closed June 18 & July 2",June 4-November 26,M,Y,Y,N,Y,43.2444,-77.61607,"(43.2444, -77.61607)"
Kings,Bensonhurst Greenmarket,8118 18th Ave. btwn 81st & 82nd Sts.,8100 18th Ave,Brooklyn,NY,11214,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sunday  9am-4pm,May 30-November 21,M,Y,Y,N,Y,40.60958,-73.99944,"(40.60958, -73.99944)"
Orange,Newburgh Farmers Market,95-107 Broadway,95-107 Broadway,Newburgh,NY,12550,Sember Weinman,8452314424,http://www.facebook.com/newburghnyfarmersmarket,Saturday  9am-2pm,June 12-November 20,M,Y,Y,Y,Y,41.49992,-74.0112,"(41.49992, -74.0112)"
Albany,Farmers' Market at the Crossings,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5187832760,http://www.colonie.org,Saturday  9am-1pm,May 15-September 25,P/M,Y,N,N,Y,42.71016,-73.78029,"(42.71016, -73.78029)"
Kings,Harvest Home Brower Park Farm Stand,Prospect Place & Brooklyn Ave. Next to Brooklyn Childrens Museum,Prospect Place and Brooklyn Ave.,Brooklyn,NY,11213,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,June 17-November 18,M,Y,Y,N,Y,40.674,-73.94454,"(40.674, -73.94454)"
Broome,Vestal Farmers' Market,"Library parking lot, near museum, 320 Vestal Pkwy East (Rt. 434)",320 Vestal Pkwy East,Vestal,NY,13850,MaKenzie Darrow,6072065742,http://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 29-November 25,P/M,Y,N,N,Y,42.087322,-76.045678,"(42.087322, -76.045678)"
New York,Harvest Home Harlem Hospital Farmers' Market,"506 Lenox Ave. , Btwn W 135th & W 137th Sts.",137th Street and Lennox Avenue,New York,NY,10037,Maritza Owens,2128283361,http://www.harvesthomefm.org,Friday  8am-5pm,June 18-November 19,M,Y,Y,N,Y,40.81539,-73.93985,"(40.81539, -73.93985)"
Cortland,Dave's Veggies Farm Market,5178 NYS Route 41 Homer,5178 NY-41,Homer,NY,13077,David Root,6075430226,,"Daily  10am-6pm, Sep-Oct  12pm-6pm",May 8-October 31,P/M,Y,Y,N,Y,42.659118,-76.203042,"(42.659118, -76.203042)"
Rensselaer,Veggie Mobile Sprout-Burns Apts,720 Federal St. Troy,720 Federal Street,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu  12:30pm-1:15pm,Year-round,YR,Y,Y,Y,Y,42.733148,-73.684555,"(42.733148, -73.684555)"
Ontario,Curbside Market-80 Parrish St. Apt,80 Parrish Street Canandaigua,80 Parrish Street,Canandaigua,NY,14424,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Tue 11:15am-12:15am,June 1-November 23,M,Y,Y,N,Y,42.8789,-77.27981,"(42.8789, -77.27981)"
Lewis,Lowville Farmers' Market,Lewis County Fairgrounds 5485 Bostwick St.,5485 Bostwick Street,Lowville,NY,13367,Rhonda Farney,3153466759,,Saturday  8am-2pm,June 5-October 30,M,Y,N,N,Y,43.79484,-75.48769,"(43.79484, -75.48769)"
Rockland,Palisades Indoor WINTER Farmers' Market,"Palisades Community Center, 675 Oak Tree Rd",675 Oak Tree Rd,Palisades,NY,10964,Carol Baxter,8453593988,http://www.palisadesfm.org,Saturday  9am-1pm,December 7-May,W/P,N,N,N,Y,41.011524,-73.917671,"(41.011524, -73.917671)"
Westchester,Pleasantville Farmers' Market,"Memorial Plaza parking lot, off Manville Rd. next to Train Station",Manville Rd and Wheeler Ave,Pleasantville,NY,10570,Steven Bates,9142054545,http://www.pleasantvillefarmersmarket.org,Saturday  8:30am-1pm,Year-round,YR,Y,Y,N,Y,41.13526,-73.79218,"(41.13526, -73.79218)"
Saratoga,Veggie Mobile Sprout-John S. Moore,2 Harris Ave. Mechanicville,2 Harris Avenue,Mechanicville,NY,12118,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 3pm-3:30pm,Year-round,YR,Y,Y,Y,Y,42.89934,-73.69122,"(42.89934, -73.69122)"
Chautauqua,Westfield Farmers and Artisans Market,Moore Park Rt 20 and Rt 394,Rt 20 and Rt 394,Westfield,NY,14787,Kathleen Mayer,7167530367,http://www.westfieldny.com/farmers-market,Saturday  9am-2pm,May 29-September 25,P/M,N,N,N,Y,42.32203,-79.57812,"(42.32203, -79.57812)"
Fulton,Gloversville Farmers' Market,Elm Street Pavilion,9 Elm Street,Gloversville,NY,12078,Michael Tillson,5188829306,http://www.fmfma.org,Sat  8:30am-12:30pm,May 8-October 16,P/M,Y,N,N,Y,43.052604,-74.345796,"(43.052604, -74.345796)"
New York,Harvest Home Lenox Ave. Farmers' Market,Lenox Ave. btwn W 117th & W 118th Sts. New York,150 Lenox Avenue,New York,NY,10027,Maritza Owens,2128283361,http://www.harvesthomefm.org,Saturday  8am-4pm,June 26-November 20,M,Y,Y,N,Y,40.80295,-73.9489,"(40.80295, -73.9489)"
Herkimer,Salisbury Farmers' Market,"126 State Route 29A Salibury Center, Town Hall Parking Lot",126 State Route 29A,Salisbury Center,NY,13329,Gina Thompson,3154299102,,Friday  9am-1pm,May 28-October 8,P/M,Y,N,N,Y,43.14304,-74.78544,"(43.14304, -74.78544)"
New York,Abingdon Square Greenmarket,601 Hudson St. at W 12th St.,Hudson St and W 12 St,New York,NY,10014,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/abingdon-square,Saturday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.73755,-74.00568,"(40.73755, -74.00568)"
Saratoga,Ballston Spa Saturday Farmers' Market,"Brookside Museum, 6 Charlton st.",6 Charlton st.,Ballston Spa,NY,12020,Nora Osuchowski,5185989222,https://www.ballston.org/category/farmers-market,Saturday  9am-12pm,June 12-September 25,M,Y,N,N,Y,43.00221,-73.85507,"(43.00221, -73.85507)"
Clinton,Rouses Point Farmers' Market,Dodge Memorial Library 144 Lake St.,144 Lake Street,Rouses Point,NY,12979,Jim Rabideau,5182983878,,Friday  3pm-7pm,June 18-September 24,M,Y,N,N,Y,44.99038,-73.36434,"(44.99038, -73.36434)"
Monroe,Village of Fairport Farmers' Market,"58 S. Main St. parking lot, behind Bank of America",58 South Main St,Fairport,NY,14450,Bryan White,,http://www.fairportny.com,Saturday  7am-12pm,May 8-November 20,P/M,Y,N,N,Y,43.09992,-77.44214,"(43.09992, -77.44214)"
Monroe,Curbside Market-Glenwood Gardens,41 Kestrel St. Rochester,41 Kestrel St,Rochester,NY,14613,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Tue  3:30pm-4pm,June 1-November 23,M,Y,Y,N,Y,43.175465,-77.644124,"(43.175465, -77.644124)"
Kings,Red Hook Farm Stand I,"560 Columbia St. , Near the BASIS Independent School",560 Columbia St,Brooklyn,NY,11231,Saara Nafici,3475136774,http://www.added-value.org/farmers-market,Saturday  10am-3pm,June 19-November 20,M,Y,Y,N,Y,40.67237,-74.00884,"(40.67237, -74.00884)"
Nassau,Kennedy Plaza Long Beach Farmers' Market-Sat,1 West Chester St. Long Beach,1 West Chester St,Long Beach,NY,11561,Debbie Grattan,5163307149,http://www.ligreenmarket.org,Saturday  9am-2pm,May 29-November 20,P/M,Y,N,N,Y,40.58943,-73.66592,"(40.58943, -73.66592)"
Allegany,Belmont Farmers' Market,5429 NYS Route 19N,5429 NYS Route 19 N,Belmont,NY,14813,Debra Wagoner,5856108836,,Thursday  11am-4pm,June 3-October 14,M,Y,Y,Y,Y,42.2356,-78.05212,"(42.2356, -78.05212)"
Bronx,Eastchester GrowNYC Farm Stand,E 229th St at Schieffelin Ave Bronx,E 229th St at Schieffelin Ave,Bronx,NY,10466,Siobahn Keys,2127887476,http://www.grownyc.org,Thursday 9:30am-3pm,July 8-November 18,M,Y,Y,N,Y,40.88504,-73.84314,"(40.88504, -73.84314)"
Sullivan,Barryville Farmers' Market,3405 NY -97,3405 NY -97,Barryville,NY,12719,John Pizzolato,8455570913,,Saturday  10am-1pm,May 22-October 23,P/M,Y,N,N,Y,41.47847,-74.91539,"(41.47847, -74.91539)"
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave.,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,James Chichocki,7168810707,http://www.elmwoodmarket.org,Saturday  8am-1pm,May 8-November 27,P/M,Y,Y,N,Y,42.92371,-78.87702,"(42.92371, -78.87702)"
Schoharie,Schoharie Co. Festival Sat Farmers' Market,"McCarthy Tire Center parking lot, 942 E. Main Rt. 7E Cobleskill",942 E. Main Rt. 7E,Cobleskill,NY,12043,Donna Olsen,5182842609,,Saturday  10am-2pm,July 10-October 9,M,Y,Y,N,Y,42.68005,-74.46673,"(42.68005, -74.46673)"
